rank,graph6,alpha,theta_scs,delta_scs,edges,pr_scs,status_scs
1,GCQb`o,3,3.46784373,0.46784373,10,1.1102230246251565e-16,optimal
2,GCR`r_,3,3.43844718,0.43844718,11,1.7257093251300215e-14,optimal
3,GCrb`o,3,3.41421356,0.41421356,12,5.687828984040464e-14,optimal
4,GCRb`w,3,3.37228133,0.37228133,12,2.5138757657234343e-18,optimal
5,GCQbdo,3,3.37228132,0.37228132,11,8.352017432309505e-14,optimal
6,GCp`dO,3,3.37228132,0.37228132,10,3.3306690738754696e-16,optimal
7,GQyurg,2,2.34314575,0.34314575,16,1.1102230246251565e-16,optimal
8,GCpdag,3,3.33804446,0.33804446,11,1.5543122344752192e-15,optimal
9,GQyurw,2,2.33804446,0.33804446,17,1.6416235527845875e-14,optimal
10,GUZurw,2,2.33333333,0.33333333,18,7.771561172376096e-15,optimal
11,GCpbdO,3,3.33097066,0.33097066,11,6.694878952339791e-13,optimal
12,GCRbdo,3,3.32921769,0.32921769,12,1.8190835747132419e-13,optimal
13,GCp`eO,3,3.31766721,0.31766721,10,7.885373782657204e-14,optimal
14,GCp`eg,3,3.31766721,0.31766721,11,1.0835776720341528e-13,optimal
15,GCp`eo,3,3.31766721,0.31766721,11,5.773159728050814e-14,optimal
16,GCp`fW,3,3.31766721,0.31766721,12,3.098349341396257e-13,optimal
17,GCp`fo,3,3.31766721,0.31766721,12,2.1494130318035275e-13,optimal
18,GCp`fw,3,3.31766721,0.31766721,13,1.0512155718246314e-13,optimal
19,GCp`f{,3,3.31766721,0.31766721,14,5.706546346573305e-14,optimal
20,GCp`fO,3,3.3176672,0.3176672,11,6.661338147750939e-15,optimal
21,GCp`fg,3,3.3176672,0.3176672,12,6.661338147750939e-16,optimal
22,GQyuzw,2,2.31459621,0.31459621,18,1.1265560853932309e-13,optimal
23,GCpbeg,3,3.30169435,0.30169435,12,9.002480237999157e-13,optimal
24,GCpbaw,3,3.30169434,0.30169434,12,8.881784197001252e-16,optimal
25,GCpdPw,3,3.30169434,0.30169434,12,2.220446049250313e-15,optimal
26,GCrbdS,3,3.29890018,0.29890018,13,7.375630564012488e-14,optimal
27,GCY^B_,3,3.27491722,0.27491722,12,4.440892098500626e-16,optimal
28,G?b@aS,4,4.23606798,0.23606798,8,7.993605777301127e-15,optimal
29,G?bATo,4,4.23606798,0.23606798,9,1.717874281631232e-13,optimal
30,G?bAV_,4,4.23606798,0.23606798,9,4.907908693753516e-16,optimal
31,G?bAVg,4,4.23606798,0.23606798,10,2.514164148453708e-14,optimal
32,G?bAVw,4,4.23606798,0.23606798,11,1.2370233159168661e-15,optimal
33,G?bAV{,4,4.23606798,0.23606798,12,3.6979656177325093e-13,optimal
34,GCOfdo,3,3.23606798,0.23606798,11,4.440892098500626e-16,optimal
35,GCQRDO,3,3.23606798,0.23606798,9,2.48093912065369e-14,optimal
36,GCQRDo,3,3.23606798,0.23606798,10,8.881784197001252e-16,optimal
37,GCQ`eo,3,3.23606798,0.23606798,10,1.9753609824939873e-14,optimal
38,GCQ`fG,3,3.23606798,0.23606798,10,1.9199146210807507e-12,optimal
39,GCQ`fO,3,3.23606798,0.23606798,10,3.1537380470274595e-15,optimal
40,GCQ`fW,3,3.23606798,0.23606798,11,9.34658764686599e-15,optimal
41,GCQ`fo,3,3.23606798,0.23606798,11,2.220446049250313e-16,optimal
42,GCQ`fw,3,3.23606798,0.23606798,12,1.158057020968405e-12,optimal
43,GCQbQW,3,3.23606798,0.23606798,10,2.6645352591003757e-15,optimal
44,GCQbQw,3,3.23606798,0.23606798,11,6.661338147750939e-16,optimal
