rank,graph6,alpha,theta_scs,theta_clarabel,delta_scs,delta_clarabel,edges,pr_scs,pr_clarabel,dr_scs,dr_clarabel,solver_diff,status_scs,status_clarabel
1,GCQb`o,3,3.46784373,3.46784377,0.46784373,0.46784377,10,1.1102230246251565e-16,3.668316173747411e-17,7.621242618327528e-06,8.484968283539729e-09,4.384809715318738e-08,optimal,optimal
2,GCR`r_,3,3.43844718,3.43844718,0.43844718,0.43844718,11,1.7257093251300215e-14,1.2301474893812551e-19,4.1611878831560034e-08,1.1717484760254138e-09,3.625817868169179e-09,optimal,optimal
3,GCrb`o,3,3.41421356,3.41421364,0.41421356,0.41421364,12,5.687828984040464e-14,2.1187521641545806e-19,2.507354516190219e-05,2.523625308725741e-09,7.93346446315013e-08,optimal,optimal
4,GCRb`w,3,3.37228133,3.37228136,0.37228133,0.37228136,12,2.5138757657234343e-18,4.440892098500626e-16,1.0639067982154415e-07,5.585526707818644e-09,3.292833605783585e-08,optimal,optimal
5,GCQbdo,3,3.37228132,3.37228134,0.37228132,0.37228134,11,8.352017432309505e-14,4.2166984838613126e-18,1.7575125754731857e-06,3.3282829825509452e-09,2.11183905918233e-08,optimal,optimal
6,GCp`dO,3,3.37228132,3.37228132,0.37228132,0.37228132,10,3.3306690738754696e-16,8.770761894538737e-15,1.5909612725018007e-06,4.644871154368957e-10,2.5981647944206543e-09,optimal,optimal
7,GQyurg,2,2.34314575,2.34314575,0.34314575,0.34314575,16,1.1102230246251565e-16,3.1086244689504383e-15,3.4468588383518295e-07,1.254818471352337e-11,9.37523392252615e-10,optimal,optimal
8,GCpdag,3,3.33804446,3.33804446,0.33804446,0.33804446,11,1.5543122344752192e-15,1.43547073866933e-14,3.0582930854450296e-08,1.6463239660424733e-09,1.5935426311841638e-09,optimal,optimal
9,GQyurw,2,2.33804446,2.33804447,0.33804446,0.33804447,17,1.6416235527845875e-14,2.220446049250313e-16,6.3597633825907e-08,2.9740654383658693e-10,1.4672341563937152e-08,optimal,optimal
10,GUZurw,2,2.33333333,2.33333334,0.33333333,0.33333334,18,7.771561172376096e-15,5.601806245493617e-18,1.2952451555747757e-08,3.400209003245891e-10,6.539885522016675e-09,optimal,optimal
11,GCpbdO,3,3.33097066,3.33097066,0.33097066,0.33097066,11,6.694878952339791e-13,1.916764878725754e-19,2.9257918088276824e-07,2.0312067583461157e-09,4.56305659923828e-09,optimal,optimal
12,GCRbdo,3,3.32921769,3.32921773,0.32921769,0.32921773,12,1.8190835747132419e-13,4.13171481080465e-18,5.69908282299636e-06,7.484384223488405e-09,3.9542232599387717e-08,optimal,optimal
13,GCp`eO,3,3.31766721,3.31766723,0.31766721,0.31766723,10,7.885373782657204e-14,9.154827690837043e-19,5.09781910018603e-07,5.215023968219157e-09,1.7940182228670665e-08,optimal,optimal
14,GCp`eg,3,3.31766721,3.31766721,0.31766721,0.31766721,11,1.0835776720341528e-13,9.388465546683542e-19,6.708076449868372e-07,4.92682783459486e-09,5.863038943232368e-10,optimal,optimal
15,GCp`eo,3,3.31766721,3.31766721,0.31766721,0.31766721,11,5.773159728050814e-14,2.220446049250313e-16,6.393333684684421e-08,2.1379165104917774e-09,7.573563998164445e-10,optimal,optimal
16,GCp`fW,3,3.31766721,3.31766722,0.31766721,0.31766722,12,3.098349341396257e-13,4.914195283387846e-11,5.645310174884344e-08,8.063983703010535e-09,1.0274896489192997e-08,optimal,optimal
17,GCp`fo,3,3.31766721,3.31766721,0.31766721,0.31766721,12,2.1494130318035275e-13,3.0520896389531685e-10,1.2759817558105624e-07,3.354226230101176e-09,3.2250420112234224e-09,optimal,optimal
